,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,Linhares,-19.3911,-40.0722,62.67,89,0,3.22,BR,2022-05-22 00:00:59
296,Kavieng,-2.5744,150.7967,84.85,65,97,15.37,PG,2022-05-22 00:01:53
297,Makakilo City,21.3469,-158.0858,84.61,62,100,8.05,US,2022-05-22 00:01:53
298,Nelson Bay,-32.7167,152.15,64.0,99,55,1.01,AU,2022-05-22 00:01:54
299,Amarpur,25.0333,86.9,81.25,70,63,9.98,IN,2022-05-22 00:01:54
300,Quatre Cocos,-20.2078,57.7625,73.18,74,5,11.1,MU,2022-05-22 00:01:55
301,Alghero,40.5589,8.3181,59.09,100,0,1.14,IT,2022-05-22 00:01:55
302,Verkhnyaya Inta,65.9811,60.3094,30.56,80,100,13.69,RU,2022-05-22 00:01:55
303,Mugan,35.9404,101.3842,53.51,49,6,0.83,CN,2022-05-22 00:01:56
304,La Ronge,55.1001,-105.2842,52.95,30,95,2.42,CA,2022-05-22 00:01:56
305,Tazovskiy,67.4667,78.7,34.88,90,100,2.8,RU,2022-05-22 00:01:57
306,Nanning,22.8167,108.3167,71.51,91,100,5.66,CN,2022-05-22 00:01:57
307,Taksimo,56.3444,114.8794,50.97,86,100,3.53,RU,2022-05-22 00:01:57
308,Mayo,38.8876,-76.5119,89.76,68,0,9.22,US,2022-05-22 00:01:58
309,Okha,53.5739,142.9478,34.14,99,100,1.57,RU,2022-05-22 00:01:58
310,Rodrigues Alves,-7.738,-72.6509,74.57,79,36,1.45,BR,2022-05-22 00:01:59
311,Jiwani,25.05,61.7417,82.65,90,1,5.03,PK,2022-05-22 00:01:59
312,Kangaatsiaq,68.3065,-53.4641,33.06,83,100,8.14,GL,2022-05-22 00:02:00
313,Pindushi,62.9152,34.58,28.71,79,10,4.97,RU,2022-05-22 00:02:00
314,College,64.8569,-147.8028,75.09,26,99,1.99,US,2022-05-22 00:02:00
315,Koungou,-12.7336,45.2042,78.51,89,0,5.75,YT,2022-05-22 00:02:01
316,Biga,40.2281,27.2422,60.06,52,0,5.61,TR,2022-05-22 00:02:01
317,Amatitan,20.8333,-103.7167,95.32,10,0,9.73,MX,2022-05-22 00:02:02
318,Bertoua,4.5833,13.6833,67.84,98,100,3.4,CM,2022-05-22 00:02:02
319,San Juan,-31.5375,-68.5364,57.87,29,2,2.8,AR,2022-05-22 00:02:02
320,Manaure,11.7751,-72.4445,83.55,61,4,20.78,CO,2022-05-22 00:02:03
321,Maniitsoq,65.4167,-52.9,38.19,77,98,19.89,GL,2022-05-22 00:02:04
322,Raudeberg,61.9875,5.1352,48.96,90,99,16.44,NO,2022-05-22 00:02:04
323,Salalah,17.0151,54.0924,82.49,83,75,2.3,OM,2022-05-22 00:03:05
324,Marrakesh,31.6315,-8.0083,73.47,60,0,1.14,MA,2022-05-22 00:00:20
325,Pemangkat,1.1667,108.9667,79.12,85,83,3.76,ID,2022-05-22 00:03:05
326,Boyuibe,-20.4167,-63.2833,58.75,70,71,5.06,BO,2022-05-22 00:03:06
327,Krasnogorsk,55.8225,37.3181,45.05,56,0,15.66,RU,2022-05-22 00:03:07
328,Nanakuli,21.3906,-158.1547,87.75,60,75,16.11,US,2022-05-22 00:03:07
329,Kletnya,53.3897,33.2171,45.48,99,100,6.29,RU,2022-05-22 00:03:08
330,Ola,59.5833,151.2833,38.44,85,100,4.83,RU,2022-05-22 00:03:08
331,Airai,-8.9266,125.4092,67.05,59,41,4.59,TL,2022-05-22 00:03:09
332,Miri,4.4148,114.0089,80.33,82,99,6.15,MY,2022-05-22 00:03:09
333,Port Lincoln,-34.7333,135.8667,61.83,73,5,12.1,AU,2022-05-22 00:00:25
334,Gamba,-2.65,10.0,75.29,87,100,6.04,GA,2022-05-22 00:03:10
335,High Level,58.5169,-117.136,64.29,15,76,5.26,CA,2022-05-22 00:00:47
336,Uruzgan,32.8333,66.0,64.0,19,17,4.74,AF,2022-05-22 00:03:10
337,Adrar,20.5022,-10.0711,88.45,9,0,2.84,MR,2022-05-22 00:03:11
338,Kondinskoye,59.6481,67.41,48.09,90,100,19.04,RU,2022-05-22 00:03:11
339,Mezen,65.8522,44.24,27.73,84,100,8.81,RU,2022-05-22 00:03:12
340,West Monroe,32.5185,-92.1476,89.6,55,0,8.05,US,2022-05-22 00:03:12
341,Powell River,49.8496,-124.5361,67.03,40,11,2.35,CA,2022-05-22 00:03:13
342,Bom Jardim,-7.7958,-35.5872,69.91,95,62,6.2,BR,2022-05-22 00:03:13
343,Dubuque,42.4833,-90.8668,59.68,48,40,16.11,US,2022-05-22 00:03:14
344,Abu Kamal,34.4506,40.9171,76.26,10,95,2.15,SY,2022-05-22 00:03:14
345,San Andres,12.5847,-81.7006,77.02,94,100,8.05,CO,2022-05-22 00:03:14
346,Diamantina,-18.2494,-43.6003,51.15,75,2,4.79,BR,2022-05-22 00:01:38
347,Dossor,47.5272,52.9811,51.58,43,8,5.7,KZ,2022-05-22 00:03:15
348,Teya,60.3778,92.6267,47.35,74,9,5.79,RU,2022-05-22 00:03:16
349,Kindia,10.0569,-12.8658,70.63,93,100,2.51,GN,2022-05-22 00:03:16
350,Iqaluit,63.7506,-68.5145,32.7,86,100,23.0,CA,2022-05-22 00:00:14
351,Seoul,37.5683,126.9778,63.79,75,75,3.44,KR,2022-05-22 00:00:00
352,Sao Borja,-28.6606,-56.0044,54.95,78,71,3.53,BR,2022-05-22 00:03:17
353,Caravelas,-17.7125,-39.2481,71.64,70,1,7.81,BR,2022-05-22 00:03:17
354,Sitka,57.0531,-135.33,57.09,67,0,0.0,US,2022-05-22 00:03:18
355,Rio Verde De Mato Grosso,-18.9181,-54.8442,63.16,41,65,3.91,BR,2022-05-22 00:03:19
356,Grindavik,63.8424,-22.4338,45.07,87,20,14.97,IS,2022-05-22 00:03:19
357,Borshchiv,48.8033,26.0435,52.36,75,59,12.41,UA,2022-05-22 00:03:19
358,Ust-Uda,54.1742,103.0304,55.99,79,99,3.2,RU,2022-05-22 00:03:20
359,Saint George,37.1041,-113.5841,81.25,10,0,9.22,US,2022-05-22 00:01:41
360,Nishihara,26.1842,127.7558,77.05,76,20,9.22,JP,2022-05-22 00:03:20
361,Hamilton,39.1834,-84.5333,68.99,89,79,6.62,US,2022-05-21 23:59:56
362,Belaya Gora,68.5333,146.4167,50.25,62,99,2.04,RU,2022-05-22 00:03:21
363,Puro,12.4841,123.3827,83.05,76,97,6.64,PH,2022-05-22 00:03:21
364,Carauari,-4.8828,-66.8958,72.28,96,61,1.99,BR,2022-05-22 00:03:22
365,Atambua,-9.1061,124.8925,78.75,65,22,4.59,ID,2022-05-22 00:03:22
366,Lieksa,63.3167,30.0167,35.15,72,13,4.61,FI,2022-05-22 00:03:23
367,Tual,-5.6667,132.75,82.4,77,87,15.75,ID,2022-05-22 00:03:23
368,Coihaique,-45.5752,-72.0662,34.41,100,100,4.61,CL,2022-05-22 00:04:24
369,Port Hedland,-20.3167,118.5667,75.25,100,100,3.44,AU,2022-05-22 00:04:24
370,Gimli,50.6336,-96.9907,43.52,67,97,3.87,CA,2022-05-22 00:04:24
371,Bud,39.447,-86.1758,71.62,89,100,7.27,US,2022-05-22 00:04:25
372,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,87,75,4.47,RU,2022-05-22 00:04:25
373,Romans-Sur-Isere,45.0464,5.0562,71.94,70,38,1.59,FR,2022-05-22 00:04:26
374,Bubaque,11.2833,-15.8333,78.89,77,100,14.85,GW,2022-05-22 00:04:26
375,Taltal,-25.4,-70.4833,61.75,75,20,3.74,CL,2022-05-22 00:04:27
376,Bulawayo,-20.15,28.5833,48.45,36,10,1.88,ZW,2022-05-22 00:04:27
377,Chuy,-33.6971,-53.4616,52.45,85,99,6.26,UY,2022-05-22 00:04:27
378,Marsh Harbour,26.5412,-77.0636,79.34,86,78,15.37,BS,2022-05-22 00:04:28
379,Yaan,7.3833,8.5667,76.55,81,93,8.66,NG,2022-05-22 00:04:28
380,Luanda,-8.8368,13.2343,71.17,85,76,5.39,AO,2022-05-22 00:00:02
381,Usogorsk,63.4106,48.6872,30.13,92,100,9.44,RU,2022-05-22 00:04:29
382,Katobu,-4.9408,122.5276,81.16,78,94,4.5,ID,2022-05-22 00:04:29
383,Hambantota,6.1241,81.1185,79.84,81,60,16.26,LK,2022-05-22 00:04:30
384,Abu Samrah,35.3029,37.1841,74.32,15,100,6.93,SY,2022-05-22 00:04:30
385,Horsham,51.064,-0.3272,54.25,89,0,1.14,GB,2022-05-22 00:04:31
386,Margate,51.3813,1.3862,54.7,80,64,1.01,GB,2022-05-22 00:01:28
387,Villeneuve-Sur-Lot,44.5,0.6667,66.25,78,79,3.47,FR,2022-05-22 00:04:31
388,Tilichiki,60.4667,166.1,39.29,76,97,3.76,RU,2022-05-22 00:04:32
389,Consolacion Del Sur,22.5047,-83.5136,82.13,69,90,11.45,CU,2022-05-22 00:04:32
390,Vrises,35.492,23.8899,70.2,49,3,4.03,GR,2022-05-22 00:04:33
391,Evensk,61.95,159.2333,39.13,95,100,0.09,RU,2022-05-22 00:04:33
392,Saint Anthony,45.0205,-93.218,54.28,44,100,13.8,US,2022-05-22 00:04:33
393,Kerrobert,51.9168,-109.1348,54.0,24,91,4.72,CA,2022-05-22 00:04:34
394,Raga,8.4596,25.678,72.77,79,99,4.52,SS,2022-05-22 00:04:34
395,Pangnirtung,66.1451,-65.7125,33.55,81,100,13.29,CA,2022-05-22 00:04:35
396,Melo,-32.3667,-54.1833,50.29,89,100,3.62,UY,2022-05-22 00:04:35
397,Yumen,40.2833,97.2,66.2,27,0,13.62,CN,2022-05-22 00:04:35
398,Gizo,-8.103,156.8419,84.22,69,13,5.82,SB,2022-05-22 00:04:36
399,Urdoma,61.7533,48.5442,29.34,94,100,9.01,RU,2022-05-22 00:04:36
400,Peace River,56.2501,-117.286,58.93,36,17,9.26,CA,2022-05-22 00:00:23
401,Mana,5.6592,-53.7767,76.75,89,100,9.51,GF,2022-05-22 00:04:37
402,Jalu,29.0331,21.5482,66.45,53,0,11.92,LY,2022-05-22 00:04:37
403,Pouembout,-21.1333,164.9,82.98,67,72,4.47,NC,2022-05-22 00:04:38
404,Turayf,31.6725,38.6637,74.34,17,27,20.29,SA,2022-05-22 00:04:38
405,Fort Nelson,58.8053,-122.7002,64.44,27,99,7.81,CA,2022-05-22 00:04:39
406,Iringa,-7.7667,35.7,53.01,95,98,5.14,TZ,2022-05-22 00:04:39
407,Kidal,18.4411,1.4078,86.61,35,21,12.93,ML,2022-05-22 00:04:39
408,Huarmey,-10.0681,-78.1522,65.07,86,51,9.46,PE,2022-05-22 00:04:40
409,Vengerovo,55.6848,76.7471,62.33,53,74,13.94,RU,2022-05-22 00:04:40
410,Abong Mbang,3.9833,13.1833,69.75,87,100,1.79,CM,2022-05-22 00:04:41
411,Sayyan,15.1718,44.3244,62.08,18,16,5.84,YE,2022-05-22 00:04:41
412,Avanigadda,16.0215,80.9181,84.9,59,93,10.49,IN,2022-05-22 00:04:41
413,Korla,41.7597,86.1469,76.48,13,100,11.34,CN,2022-05-22 00:04:42
414,Alyangula,-13.8483,136.4192,83.17,61,3,14.32,AU,2022-05-22 00:04:42
415,Rio Grande,-32.035,-52.0986,50.95,74,100,5.32,BR,2022-05-22 00:02:40
416,Batticaloa,7.7102,81.6924,79.99,72,62,5.06,LK,2022-05-22 00:05:43
417,Yeppoon,-23.1333,150.7333,73.18,85,97,13.62,AU,2022-05-22 00:05:43
418,Usevya,-7.1,31.2333,67.48,69,100,1.97,TZ,2022-05-22 00:05:44
419,Tsabong,-26.0217,22.401,49.57,82,52,4.54,BW,2022-05-22 00:05:44
420,Moengo,5.6167,-54.4,74.1,98,100,2.15,SR,2022-05-22 00:05:45
421,Qeshm,26.9581,56.2719,83.35,72,0,5.17,IR,2022-05-22 00:05:45
422,Kupang,-10.1667,123.5833,81.75,68,17,12.17,ID,2022-05-22 00:01:08
423,Terra Santa,-2.1042,-56.4869,73.4,95,65,1.57,BR,2022-05-22 00:05:46
424,Poum,-20.2333,164.0167,78.03,80,30,3.36,NC,2022-05-22 00:05:46
425,Vila Velha,-20.3297,-40.2925,68.92,73,8,5.57,BR,2022-05-22 00:05:22
426,Praia,14.9215,-23.5087,72.14,73,20,12.66,CV,2022-05-22 00:05:47
427,Pombas,17.1503,-25.0201,69.31,74,45,11.1,CV,2022-05-22 00:05:47
428,Balabac,7.9868,117.0645,83.41,77,100,9.44,PH,2022-05-22 00:05:48
429,Ambanja,-13.6833,48.45,73.08,79,28,3.33,MG,2022-05-22 00:05:48
430,Trat,12.5,102.5,84.87,94,100,6.44,TH,2022-05-22 00:05:49
431,Tecoanapa,16.5167,-98.75,83.66,60,2,8.7,MX,2022-05-22 00:05:49
432,Minsk,53.9,27.5667,47.95,97,97,13.51,BY,2022-05-22 00:01:54
433,Cap Malheureux,-19.9842,57.6142,75.85,71,0,16.02,MU,2022-05-22 00:05:50
434,Xai-Xai,-25.0519,33.6442,68.59,90,100,1.88,MZ,2022-05-22 00:05:50
435,Orlik,52.5178,99.825,53.71,49,46,3.09,RU,2022-05-22 00:05:51
436,Henties Bay,-22.116,14.2845,56.82,76,1,9.89,NA,2022-05-22 00:05:51
437,Shenjiamen,29.9576,122.298,66.15,76,90,7.29,CN,2022-05-22 00:05:51
438,Poso,-1.3959,120.7524,81.25,66,87,2.73,ID,2022-05-22 00:05:52
439,Shizunai,42.3339,142.3669,58.03,85,97,11.97,JP,2022-05-22 00:05:52
440,Muros,42.7762,-9.0603,67.08,87,100,7.23,ES,2022-05-22 00:05:53
441,Derzhavinsk,51.1,66.3167,44.58,84,78,17.94,KZ,2022-05-22 00:05:53
442,Mount Isa,-20.7333,139.5,73.17,60,60,12.66,AU,2022-05-22 00:01:34
443,Edson,53.5835,-116.4356,57.61,24,96,2.86,CA,2022-05-22 00:01:04
444,Aleysk,52.4926,82.7822,62.04,57,99,8.41,RU,2022-05-22 00:05:54
445,Vostok,46.4856,135.8833,49.23,95,87,2.98,RU,2022-05-22 00:05:54
446,Nantucket,41.2835,-70.0995,66.34,88,0,9.22,US,2022-05-22 00:04:24
447,Jilin,43.0,126.0,65.53,49,23,4.29,CN,2022-05-22 00:05:55
448,Mbini,1.574,9.6134,76.78,88,100,5.66,GQ,2022-05-22 00:05:55
449,Elko,41.0002,-115.5012,61.05,15,84,1.99,US,2022-05-22 00:05:56
450,South Lyon,42.4606,-83.6516,70.02,73,98,2.53,US,2022-05-22 00:05:56
451,Soe,-9.8607,124.284,72.64,69,42,7.0,ID,2022-05-22 00:05:57
452,Yining,29.0361,114.5636,67.96,87,81,1.07,CN,2022-05-22 00:05:57
453,Las Tunas,20.9617,-76.9511,79.92,76,99,12.1,CU,2022-05-22 00:05:58
454,Bara,10.3744,10.7288,82.78,61,33,11.21,NG,2022-05-22 00:05:58
455,Kokopo,-4.352,152.2633,83.84,67,50,4.36,PG,2022-05-22 00:05:58
456,Zaoyang,32.1272,112.7542,71.24,68,100,6.04,CN,2022-05-22 00:05:59
457,Tolaga Bay,-38.3667,178.3,62.96,54,5,9.93,NZ,2022-05-22 00:05:59
458,Roxas,11.5853,122.7511,82.33,77,88,7.63,PH,2022-05-22 00:06:00
459,Hay River,60.8156,-115.7999,53.2,44,100,2.28,CA,2022-05-22 00:02:55
460,Qujing,25.4833,103.7833,56.91,98,100,3.04,CN,2022-05-22 00:06:00
461,Chany,55.3121,76.7647,62.67,52,62,14.52,RU,2022-05-22 00:06:01
462,Kavaratti,10.5669,72.642,83.39,77,97,19.26,IN,2022-05-22 00:06:01
463,Tongren,27.7172,109.1853,62.91,95,100,2.71,CN,2022-05-22 00:06:02
464,Nhulunbuy,-12.2333,136.7667,83.01,69,40,14.97,AU,2022-05-22 00:06:02
465,Jiuquan,39.7432,98.5174,66.06,25,1,2.53,CN,2022-05-22 00:07:03
466,Aquiraz,-3.9014,-38.3911,76.17,82,11,6.44,BR,2022-05-22 00:07:03
467,Victor Harbor,-35.5667,138.6167,55.69,92,60,7.94,AU,2022-05-22 00:07:04
468,Mnogovershinnyy,53.9353,139.9242,32.0,94,100,6.6,RU,2022-05-22 00:07:04
469,Shushtar,32.0455,48.8567,78.08,11,3,4.34,IR,2022-05-22 00:07:05
470,Ambilobe,-13.2,49.05,73.67,80,69,2.98,MG,2022-05-22 00:07:06
471,Goya,-29.14,-59.2626,54.77,84,71,4.94,AR,2022-05-22 00:07:06
472,Nouadhibou,20.931,-17.0347,65.7,90,2,20.98,MR,2022-05-22 00:07:07
473,Pacific Grove,36.6177,-121.9166,72.21,75,0,11.5,US,2022-05-22 00:07:07
474,Watrous,51.6668,-105.4679,53.17,36,100,7.74,CA,2022-05-22 00:07:08
475,Felanitx,39.4696,3.1483,68.95,68,11,3.71,ES,2022-05-22 00:07:08
476,Kodinar,20.7903,70.7031,83.62,70,68,19.69,IN,2022-05-22 00:07:08
477,Saravan,39.7196,45.6483,42.67,49,0,4.52,AM,2022-05-22 00:07:09
478,Fonte Boa,-2.4959,-66.2662,72.88,98,90,2.46,BR,2022-05-22 00:07:08
479,Tepatepec,20.2333,-99.0833,80.74,35,6,23.15,MX,2022-05-22 00:07:09
480,Bonthe,7.5264,-12.505,76.77,90,100,6.53,SL,2022-05-22 00:07:10
481,Sisian,39.5256,46.0251,43.02,54,0,4.61,AM,2022-05-22 00:07:10
482,Bereda,43.2686,-7.5406,59.32,96,100,3.44,ES,2022-05-22 00:07:11
483,Touros,-5.1989,-35.4608,77.27,85,9,10.13,BR,2022-05-22 00:06:54
484,Alekseyevsk,57.8406,108.3492,48.2,88,89,3.96,RU,2022-05-22 00:07:11
485,Comodoro Rivadavia,-45.8667,-67.5,53.46,54,0,11.5,AR,2022-05-22 00:07:12
486,Acajutla,13.5928,-89.8275,80.62,80,96,7.92,SV,2022-05-22 00:07:12
487,Grand Gaube,-20.0064,57.6608,75.6,70,0,15.43,MU,2022-05-22 00:07:13
488,Bandarbeyla,9.4942,50.8122,79.14,90,100,20.78,SO,2022-05-22 00:07:13
489,Kjollefjord,70.9457,27.3465,41.05,95,100,2.8,NO,2022-05-22 00:07:13
490,Painesville,41.7245,-81.2457,67.55,93,100,5.75,US,2022-05-22 00:07:14
491,Malinovoye Ozero,51.6753,79.7825,68.31,46,100,7.61,RU,2022-05-22 00:07:14
492,Oranjemund,-28.55,16.4333,51.3,89,31,5.01,NA,2022-05-22 00:07:15
493,Cayenne,4.9333,-52.3333,80.1,1,75,5.01,GF,2022-05-22 00:07:15
494,Yulara,-25.2406,130.9889,58.1,41,8,8.59,AU,2022-05-22 00:07:16
495,Estelle,29.8458,-90.1067,77.0,69,40,0.0,US,2022-05-22 00:07:16
496,Cockburn Town,21.4612,-71.1419,79.57,83,73,18.39,TC,2022-05-22 00:07:17
497,Veraval,20.9,70.3667,83.7,72,54,19.84,IN,2022-05-22 00:07:17
498,Wanaka,-44.7,169.15,49.68,66,42,6.42,NZ,2022-05-22 00:07:17
499,Lagoa,39.05,-27.9833,62.94,94,90,4.18,PT,2022-05-22 00:07:18
500,Forestville,38.8451,-76.875,88.88,60,0,10.36,US,2022-05-22 00:07:18
501,Mandan,46.8267,-100.8896,48.18,55,100,12.66,US,2022-05-22 00:07:19
502,Kongsberg,59.6652,9.6465,51.4,93,97,1.12,NO,2022-05-22 00:07:19
503,Wonosobo,-7.36,109.9025,69.76,91,100,1.52,ID,2022-05-22 00:07:20
504,Loikaw,19.6742,97.2094,68.49,89,81,1.63,MM,2022-05-22 00:07:20
505,Suez,29.9737,32.5263,65.75,60,4,8.21,EG,2022-05-22 00:07:20
506,Lesnoye,58.2841,35.5158,31.17,88,8,5.19,RU,2022-05-22 00:07:21
507,Yala,6.3333,101.25,80.6,87,100,2.93,TH,2022-05-22 00:07:21
508,Sisimiut,66.9395,-53.6735,40.05,65,100,2.19,GL,2022-05-22 00:07:22
509,Pahrump,36.2083,-115.9839,83.44,7,3,4.0,US,2022-05-22 00:07:22
510,Piacabucu,-10.4056,-36.4344,77.04,79,77,13.2,BR,2022-05-22 00:07:23
511,Risod,19.9667,76.7833,78.04,56,5,17.07,IN,2022-05-22 00:07:23
512,Pascagoula,30.3658,-88.5561,81.32,78,75,5.75,US,2022-05-22 00:08:23
513,Port-Gentil,-0.7193,8.7815,78.01,84,100,15.05,GA,2022-05-22 00:08:24
514,Vardo,70.3705,31.1107,39.18,87,75,19.57,NO,2022-05-22 00:08:24
515,Ballina,-28.8667,153.5667,62.78,83,100,12.17,AU,2022-05-22 00:08:25
516,Kapuskasing,49.4169,-82.4331,44.28,62,100,3.53,CA,2022-05-22 00:06:09
517,Umm Lajj,25.0213,37.2685,81.01,61,0,8.16,SA,2022-05-22 00:08:26
518,Taiyuan,37.8694,112.5603,66.06,45,0,2.24,CN,2022-05-22 00:08:26
519,Puurmani,58.5738,26.2878,46.62,70,98,8.79,EE,2022-05-22 00:08:27
520,Abnub,27.2696,31.1511,70.11,23,64,12.48,EG,2022-05-22 00:08:27
521,Malindi,-3.2175,40.1191,78.94,82,76,13.31,KE,2022-05-22 00:08:28
522,Kloulklubed,7.0419,134.2556,81.1,78,42,7.85,PW,2022-05-22 00:08:28
523,Juarez,31.7333,-106.4833,92.21,8,0,13.8,MX,2022-05-22 00:04:28
524,Coquimbo,-29.9533,-71.3436,56.93,100,0,6.91,CL,2022-05-22 00:08:29
525,Sattahip,12.6664,100.9007,84.16,89,75,4.61,TH,2022-05-22 00:08:29
526,Tabuk,17.4189,121.4443,79.05,82,91,3.31,PH,2022-05-22 00:08:29
527,Gweta,-20.1833,25.2333,50.81,58,0,10.09,BW,2022-05-22 00:08:30
528,Huilong,31.8111,121.655,70.93,65,97,7.9,CN,2022-05-22 00:08:30
529,Garissa,-0.4536,39.6401,75.15,87,90,16.55,KE,2022-05-22 00:08:31
530,Kapit,2.0167,112.9333,76.48,93,100,1.41,MY,2022-05-22 00:08:31
531,Cabot,34.9745,-92.0165,85.87,95,100,7.61,US,2022-05-22 00:08:32
532,Arlit,18.7369,7.3853,86.9,20,73,5.28,NE,2022-05-22 00:08:32
533,Dwarka,22.2394,68.9678,82.35,81,4,22.55,IN,2022-05-22 00:08:33
534,Banikoara,11.2985,2.4386,80.56,63,70,8.75,BJ,2022-05-22 00:04:23
535,Rundu,-17.9333,19.7667,43.34,28,0,6.58,NA,2022-05-22 00:08:33
536,Basmat,19.3167,77.1667,79.88,58,3,15.26,IN,2022-05-22 00:08:16
537,Goianesia,-15.3175,-49.1175,60.01,28,6,2.48,BR,2022-05-22 00:08:34
538,Faya,18.3851,42.4509,66.72,13,11,6.69,SA,2022-05-22 00:08:34
539,Wairoa,-39.0333,177.3667,64.54,54,32,1.99,NZ,2022-05-22 00:08:35
540,Innisfail,-17.5333,146.0333,76.32,76,75,9.71,AU,2022-05-22 00:08:35
541,Druzhba,52.0428,33.9453,51.91,98,100,7.4,UA,2022-05-22 00:08:36
542,Kieta,-6.2167,155.6333,84.63,68,16,4.38,PG,2022-05-22 00:08:36
543,Ambon,-3.6954,128.1814,80.74,89,40,2.3,ID,2022-05-22 00:08:37
544,Srednekolymsk,67.45,153.6833,57.07,41,100,10.07,RU,2022-05-22 00:08:37
545,Alta Floresta,-9.8756,-56.0861,69.55,68,0,2.55,BR,2022-05-22 00:08:37
546,Tutoia,-2.7619,-42.2744,77.05,86,41,4.43,BR,2022-05-22 00:08:38
547,Znamenskoye,57.1281,73.8282,57.69,64,68,10.51,RU,2022-05-22 00:08:38
548,Aras,42.5617,-2.356,64.83,64,0,2.3,ES,2022-05-22 00:08:39
549,Miramar,25.9873,-80.2323,84.22,84,100,17.27,US,2022-05-22 00:08:39
550,Bell Ville,-32.6259,-62.6887,54.66,41,12,5.1,AR,2022-05-22 00:08:39
551,Losal,27.4,74.9167,78.98,72,0,16.2,IN,2022-05-22 00:08:40
552,Souillac,-20.5167,57.5167,72.39,79,0,11.52,MU,2022-05-22 00:08:40
553,Riyadh,24.6877,46.7219,86.14,16,0,4.36,SA,2022-05-22 00:07:31
554,Bushehr,28.9684,50.8385,83.5,43,0,21.05,IR,2022-05-22 00:08:41
555,Roald,62.5833,6.1333,50.9,93,100,4.61,NO,2022-05-22 00:08:41
556,Namie,37.4833,141.0,59.99,92,100,6.67,JP,2022-05-22 00:08:42
557,Sampit,-2.5333,112.95,76.55,91,98,1.54,ID,2022-05-22 00:09:42
558,Dimona,31.0667,35.0333,63.16,85,100,22.19,IL,2022-05-22 00:09:43
559,Axim,4.8699,-2.2405,75.49,94,100,5.84,GH,2022-05-22 00:09:43
560,Kelso,46.1468,-122.9084,73.49,38,0,11.5,US,2022-05-22 00:07:26
561,Sigli,5.3848,95.9609,79.54,78,98,5.19,ID,2022-05-22 00:09:44
562,Jatiroto,-7.8833,111.1167,75.76,87,100,1.81,ID,2022-05-22 00:09:44
563,Empalme,27.9667,-110.8167,90.36,42,0,16.11,MX,2022-05-22 00:05:03
564,Peruibe,-24.32,-46.9983,60.31,91,21,3.94,BR,2022-05-22 00:09:45
565,Pringsewu,-5.3582,104.9744,75.67,94,85,2.33,ID,2022-05-22 00:09:46
566,Altay,47.8667,88.1167,70.09,29,92,3.62,CN,2022-05-22 00:09:46
567,Burgstadt,50.9167,12.8167,51.62,84,54,4.63,DE,2022-05-22 00:09:47
568,Shellbrook,53.2168,-106.4011,55.06,35,95,7.31,CA,2022-05-22 00:09:47
569,Stromness,58.965,-3.296,49.96,90,100,5.01,GB,2022-05-22 00:06:08
570,Kaseda,31.4167,130.3167,68.47,79,90,7.23,JP,2022-05-22 00:09:48
571,Barashevo,54.5325,42.8792,38.17,79,83,6.6,RU,2022-05-22 00:09:48
572,Bar Harbor,44.3876,-68.2039,57.45,90,100,5.01,US,2022-05-22 00:09:49
573,Soto La Marina,23.7667,-98.2167,88.77,38,0,17.6,MX,2022-05-22 00:09:49
574,Waw,7.7029,27.9953,73.27,83,100,3.74,SS,2022-05-22 00:09:49
575,San Vicente,-26.6167,-54.1333,47.17,83,7,1.14,AR,2022-05-22 00:09:50
576,Warrnambool,-38.3833,142.4833,47.8,76,5,4.9,AU,2022-05-22 00:09:50
577,Lima,-12.0432,-77.0282,66.9,76,100,5.75,PE,2022-05-22 00:07:26
578,Mazyr,52.0495,29.2456,47.97,90,71,17.69,BY,2022-05-22 00:09:51
579,Wabana,47.6332,-52.9481,47.16,71,35,6.71,CA,2022-05-22 00:09:52
580,Kenai,60.5544,-151.2583,67.03,15,0,14.97,US,2022-05-22 00:09:52
581,Pucallpa,-8.3791,-74.5539,80.64,69,40,3.44,PE,2022-05-22 00:09:52
582,Ashland,40.8167,-82.2665,66.11,83,98,14.7,US,2022-05-22 00:09:53
583,Anadyr,64.75,177.4833,46.49,65,93,4.0,RU,2022-05-22 00:09:53
584,Hofn,64.2539,-15.2082,47.91,83,93,11.16,IS,2022-05-22 00:09:54
585,Deputatskiy,69.3,139.9,31.57,100,98,1.9,RU,2022-05-22 00:09:54
586,Rodos,36.4408,28.2225,69.46,62,40,9.22,GR,2022-05-22 00:09:55
587,Ak-Dovurak,51.1833,90.6,60.53,45,43,2.13,RU,2022-05-22 00:09:55
588,Ratne,51.6683,24.5303,50.02,84,47,13.91,UA,2022-05-22 00:09:56
589,Juneau,58.3019,-134.4197,71.6,64,0,6.91,US,2022-05-22 00:08:00
590,Nkowakowa,-23.8878,30.2871,59.54,95,78,3.27,ZA,2022-05-22 00:09:56
591,Kitakata,37.65,139.8667,59.52,82,100,1.52,JP,2022-05-22 00:09:57
592,Mountain Home,43.133,-115.6912,64.22,16,6,3.91,US,2022-05-22 00:09:57
593,Aberdeen,57.1437,-2.0981,54.66,85,92,6.91,GB,2022-05-22 00:09:58
594,Shache,38.4167,77.2406,66.6,37,100,7.38,CN,2022-05-22 00:09:58
